TestDate;sites_Collection;pop;trait;dose_ppm;dose;Replique;mort;vivant;total;populations;Traitements
12/06/2019;Koira_tagui;culexp;bact;1ppm;1;4;8;17;25;Culex_pipens;Bactivec
12/06/2019;Koira_tagui;culexp;bact;0.5ppm;0.5;4;3;22;25;Culex_pipens;Bactivec
15/06/2019;Koira_tagui;An_g;bact;1000ppm;1000;4;25;0;25;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;100ppm;100;4;25;0;25;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;10ppm;10;4;25;0;25;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;5ppm;5;4;24;1;25;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;1ppm;1;4;17;10;27;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;0.5ppm;0.5;4;9;16;25;An_gambiae;Bactivec
17/06/2019;Koira_tagui;culexp;ctl_gris;1000ppm;1000;1;0;27;27;Culex_pipens;Temoin
17/06/2019;Koira_tagui;culexp;ctl_gris;100ppm;100;1;0;25;25;Culex_pipens;Temoin
17/06/2019;Koira_tagui;culexp;ctl_gris;10ppm;10;1;0;25;25;Culex_pipens;Temoin
17/06/2019;Koira_tagui;culexp;ctl_gris;5ppm;5;1;0;27;27;Culex_pipens;Temoin
17/06/2019;Koira_tagui;culexp;ctl_gris;1ppm;1;1;0;25;25;Culex_pipens;Temoin
17/06/2019;Koira_tagui;culexp;ctl_gris;0.5ppm;0.5;1;0;25;25;Culex_pipens;Temoin
20/06/2019;Koira_tagui;An_g;ctl_gris;1000ppm;1000;1;25;0;25;An_gambiae;Temoin
20/06/2019;Koira_tagui;An_g;ctl_gris;100ppm;100;1;25;0;25;An_gambiae;Temoin
20/06/2019;Koira_tagui;An_g;ctl_gris;10ppm;10;1;25;1;26;An_gambiae;Temoin
20/06/2019;Koira_tagui;An_g;ctl_gris;5ppm;5;1;15;11;26;An_gambiae;Temoin
20/06/2019;Koira_tagui;An_g;ctl_gris;1ppm;1;1;7;18;25;An_gambiae;Temoin
20/06/2019;Koira_tagui;An_g;ctl_gris;0.5ppm;0.5;1;2;23;25;An_gambiae;Temoin
17/06/2019;Koira_tagui;culexp;gris;1000ppm;1000;1;26;0;26;Culex_pipens;Griselesf
